timestamp;direction;message_id;message_name;signal_name;raw;physical;selected
2026-05-13 13:08:14.639;TX;71;VCU_MCU02;Checksum_047;0;0;1
2026-05-13 13:08:14.640;TX;71;VCU_MCU02;VCU_MaxSpeed;10;1000;1
2026-05-13 13:08:14.641;TX;768;VCU_to_MCU_CurrentCommand;VCU_IdCommand;32000;0;1
2026-05-13 13:08:14.643;TX;768;VCU_to_MCU_CurrentCommand;VCU_IqCommand;32000;0;1
2026-05-13 13:08:14.645;TX;768;VCU_to_MCU_CurrentCommand;VCU_CurrentCommandEnable;0;0;1
2026-05-13 13:08:14.646;TX;768;VCU_to_MCU_CurrentCommand;MessageCounter_300;1;1;1
2026-05-13 13:08:14.646;TX;768;VCU_to_MCU_CurrentCommand;Checksum_300;0;0;1
2026-05-13 13:08:14.654;TX;70;VCU_MCU01;VCU_KL15On;1;1;1
2026-05-13 13:08:14.655;TX;70;VCU_MCU01;VCU_MCUDesiredTorque;1023;1.023e-05;1
2026-05-13 13:08:14.656;TX;70;VCU_MCU01;VCU_MCUSurgeDamperState;2;2;1
2026-05-13 13:08:14.657;TX;70;VCU_MCU01;VCU_BrakepedalStatus;0;0;1
2026-05-13 13:08:14.658;TX;70;VCU_MCU01;VCU_MCURequestedState;1;1;1
2026-05-13 13:08:14.660;TX;70;VCU_MCU01;VCU_TCSActive;0;0;1
2026-05-13 13:08:14.661;TX;70;VCU_MCU01;VCU_ActualGear;4;4;1
2026-05-13 13:08:14.662;TX;70;VCU_MCU01;MessageCounter_046;2;2;1
2026-05-13 13:08:14.663;TX;70;VCU_MCU01;Checksum_046;0;0;1
2026-05-13 13:08:14.663;TX;71;VCU_MCU02;VCU_MinTorqueLimit;1013;-9.99999;1
2026-05-13 13:08:14.665;TX;71;VCU_MCU02;VCU_MaxTorqueGradient;125;4000;1
2026-05-13 13:08:14.666;TX;71;VCU_MCU02;VCU_MaxTorqueLimit;1033;10;1
2026-05-13 13:08:14.668;TX;71;VCU_MCU02;VCU_TrqThresholdDampgCtl;0;0;1
2026-05-13 13:08:14.669;TX;71;VCU_MCU02;MessageCounter_047;2;2;1
2026-05-13 13:08:14.670;TX;71;VCU_MCU02;Checksum_047;0;0;1
2026-05-13 13:08:14.671;TX;71;VCU_MCU02;VCU_MaxSpeed;10;1000;1
2026-05-13 13:08:14.672;TX;768;VCU_to_MCU_CurrentCommand;VCU_IdCommand;32000;0;1
2026-05-13 13:08:14.673;TX;768;VCU_to_MCU_CurrentCommand;VCU_IqCommand;32000;0;1
2026-05-13 13:08:14.674;TX;768;VCU_to_MCU_CurrentCommand;VCU_CurrentCommandEnable;0;0;1
2026-05-13 13:08:14.676;TX;768;VCU_to_MCU_CurrentCommand;MessageCounter_300;2;2;1
